  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.205050E-21  .116742E-21 -.251220E-21
  .100000E+00 -.265970E-20  .151505E-20 -.325904E-20
  .150000E+00 -.175508E-19  .100037E-19 -.215095E-19
  .200000E+00 -.793717E-19  .452737E-19 -.972949E-19
  .250000E+00 -.279005E-18  .159280E-18 -.342091E-18
  .300000E+00 -.817787E-18  .467317E-18 -.100298E-17
  .350000E+00 -.208941E-17  .119529E-17 -.256338E-17
  .400000E+00 -.479527E-17  .274660E-17 -.588512E-17
  .450000E+00 -.100987E-16  .579212E-17 -.123987E-16
  .500000E+00 -.198230E-16  .113865E-16 -.243482E-16
  .550000E+00 -.366988E-16  .211146E-16 -.450974E-16
  .600000E+00 -.646644E-16  .372704E-16 -.795027E-16
  .650000E+00 -.109224E-15  .630733E-16 -.134360E-15
  .700000E+00 -.177869E-15  .102924E-15 -.218927E-15
  .750000E+00 -.280563E-15  .162704E-15 -.345537E-15
  .800000E+00 -.430297E-15  .250120E-15 -.530289E-15
  .850000E+00 -.643718E-15  .375104E-15 -.793846E-15
  .900000E+00 -.941832E-15  .550261E-15 -.116232E-14
  .950000E+00 -.135079E-14  .791378E-15 -.166827E-14
  .100000E+01 -.190272E-14  .111799E-14 -.235179E-14
  .105000E+01 -.263673E-14  .155404E-14 -.326173E-14
  .110000E+01 -.359987E-14  .212852E-14 -.445701E-14
  .115000E+01 -.484829E-14  .287634E-14 -.600807E-14
  .120000E+01 -.644841E-14  .383910E-14 -.799841E-14
  .125000E+01 -.847821E-14  .506607E-14 -.105263E-13
  .130000E+01 -.110286E-13  .661520E-14 -.137066E-13
  .135000E+01 -.142050E-13  .855425E-14 -.176726E-13
  .140000E+01 -.181286E-13  .109619E-13 -.225781E-13
  .145000E+01 -.229382E-13  .139293E-13 -.285999E-13
  .150000E+01 -.287921E-13  .175612E-13 -.359397E-13
  .155000E+01 -.358694E-13  .219775E-13 -.448268E-13
