  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.146853E-22  .428021E-23 -.261924E-22
  .100000E+00 -.190776E-21  .556057E-22 -.340240E-21
  .150000E+00 -.126106E-20  .367581E-21 -.224891E-20
  .200000E+00 -.571382E-20  .166563E-20 -.101892E-19
  .250000E+00 -.201261E-19  .586765E-20 -.358883E-19
  .300000E+00 -.591205E-19  .172386E-19 -.105417E-18
  .350000E+00 -.151401E-18  .441518E-19 -.269946E-18
  .400000E+00 -.348314E-18  .101590E-18 -.621007E-18
  .450000E+00 -.735389E-18  .214520E-18 -.131105E-17
  .500000E+00 -.144729E-17  .422267E-18 -.258010E-17
  .550000E+00 -.268662E-17  .784032E-18 -.478921E-17
  .600000E+00 -.474705E-17  .138570E-17 -.846160E-17
  .650000E+00 -.804112E-17  .234806E-17 -.143322E-16
  .700000E+00 -.131333E-16  .383665E-17 -.234062E-16
  .750000E+00 -.207785E-16  .607313E-17 -.370278E-16
  .800000E+00 -.319669E-16  .934868E-17 -.569588E-16
  .850000E+00 -.479745E-16  .140391E-16 -.854699E-16
  .900000E+00 -.704216E-16  .206218E-16 -.125443E-15
  .950000E+00 -.101337E-15  .296957E-16 -.180485E-15
  .100000E+01 -.143231E-15  .420025E-16 -.255059E-15
  .105000E+01 -.199174E-15  .584510E-16 -.354626E-15
  .110000E+01 -.272890E-15  .801442E-16 -.485804E-15
  .115000E+01 -.368849E-15  .108408E-15 -.656538E-15
  .120000E+01 -.492376E-15  .144826E-15 -.876294E-15
  .125000E+01 -.649770E-15  .191271E-15 -.115626E-14
  .130000E+01 -.848421E-15  .249947E-15 -.150958E-14
  .135000E+01 -.109696E-14  .323431E-15 -.195157E-14
  .140000E+01 -.140538E-14  .414715E-15 -.250002E-14
  .145000E+01 -.178521E-14  .527255E-15 -.317544E-14
  .150000E+01 -.224971E-14  .665027E-15 -.400138E-14
  .155000E+01 -.281397E-14  .832586E-15 -.500473E-14
  .160000E+01 -.349520E-14  .103513E-14 -.621609E-14
  .165000E+01 -.431283E-14  .127855E-14 -.767012E-14
  .170000E+01 -.528880E-14  .156953E-14 -.940592E-14
  .175000E+01 -.644776E-14  .191559E-14 -.114675E-13
  .180000E+01 -.781730E-14  .232517E-14 -.139040E-13
  .185000E+01 -.942820E-14  .280770E-14 -.167705E-13
  .190000E+01 -.113147E-13  .337367E-14 -.201283E-13
  .195000E+01 -.135149E-13  .403476E-14 -.240454E-13
  .200000E+01 -.160707E-13  .480386E-14 -.285968E-13
  .205000E+01 -.190285E-13  .569524E-14 -.338658E-13
  .210000E+01 -.224395E-13  .672458E-14 -.399438E-13
  .215000E+01 -.263597E-13  .790907E-14 -.469312E-13
  .220000E+01 -.308506E-13  .926753E-14 -.549382E-13
  .225000E+01 -.359793E-13  .108204E-13 -.640851E-13
  .230000E+01 -.418194E-13  .125901E-13 -.745034E-13
  .235000E+01 -.484506E-13  .146006E-13 -.863363E-13
  .240000E+01 -.559599E-13  .168782E-13 -.997394E-13
  .245000E+01 -.644417E-13  .194510E-13 -.114882E-12
  .250000E+01 -.739981E-13  .223496E-13 -.131946E-12
  .255000E+01 -.847397E-13  .256064E-13 -.151129E-12
  .260000E+01 -.967858E-13  .292566E-13 -.172646E-12
  .265000E+01 -.110265E-12  .333373E-13 -.196726E-12
  .270000E+01 -.125316E-12  .378882E-13 -.223618E-12
  .275000E+01 -.142087E-12  .429515E-13 -.253587E-12
  .280000E+01 -.160737E-12  .485719E-13 -.286919E-12
  .285000E+01 -.181438E-12  .547966E-13 -.323921E-12
  .290000E+01 -.204372E-12  .616754E-13 -.364921E-12
  .295000E+01 -.229735E-12  .692606E-13 -.410270E-12
  .300000E+01 -.257735E-12  .776075E-13 -.460344E-12
  .305000E+01 -.288593E-12  .867736E-13 -.515541E-12
  .310000E+01 -.322548E-12  .968196E-13 -.576290E-12
  .315000E+01 -.359850E-12  .107809E-12 -.643043E-12
  .320000E+01 -.400767E-12  .119807E-12 -.716284E-12
  .325000E+01 -.445583E-12  .132885E-12 -.796527E-12
  .330000E+01 -.494600E-12  .147113E-12 -.884315E-12
  .335000E+01 -.548136E-12  .162566E-12 -.980227E-12
  .340000E+01 -.606531E-12  .179322E-12 -.108487E-11
  .345000E+01 -.670142E-12  .197460E-12 -.119890E-11
  .350000E+01 -.739347E-12  .217065E-12 -.132300E-11
  .355000E+01 -.814547E-12  .238221E-12 -.145788E-11
  .360000E+01 -.896162E-12  .261016E-12 -.160432E-11
  .365000E+01 -.984637E-12  .285541E-12 -.176312E-11
  .370000E+01 -.108044E-11  .311889E-12 -.193512E-11
  .375000E+01 -.118406E-11  .340154E-12 -.212121E-11
  .380000E+01 -.129603E-11  .370432E-12 -.232235E-11
  .385000E+01 -.141688E-11  .402825E-12 -.253951E-11
  .390000E+01 -.154718E-11  .437431E-12 -.277373E-11
  .395000E+01 -.168754E-11  .474354E-12 -.302611E-11
  .400000E+01 -.183859E-11  .513699E-12 -.329779E-11
  .405000E+01 -.200098E-11  .555572E-12 -.358996E-11
  .410000E+01 -.217540E-11  .600081E-12 -.390388E-11
  .415000E+01 -.236258E-11  .647334E-12 -.424087E-11
  .420000E+01 -.256326E-11  .697443E-12 -.460231E-11
  .425000E+01 -.277824E-11  .750519E-12 -.498964E-11
  .430000E+01 -.300834E-11  .806675E-12 -.540436E-11
  .435000E+01 -.325442E-11  .866027E-12 -.584804E-11
  .440000E+01 -.351737E-11  .928691E-12 -.632233E-11
  .445000E+01 -.379814E-11  .994787E-12 -.682894E-11
  .450000E+01 -.409769E-11  .106444E-11 -.736966E-11
  .455000E+01 -.441704E-11  .113776E-11 -.794636E-11
  .460000E+01 -.475725E-11  .121489E-11 -.856096E-11
  .465000E+01 -.511941E-11  .129595E-11 -.921549E-11
  .470000E+01 -.550467E-11  .138109E-11 -.991207E-11
  .475000E+01 -.591421E-11  .147043E-11 -.106529E-10
  .480000E+01 -.634928E-11  .156412E-11 -.114402E-10
  .485000E+01 -.681113E-11  .166233E-11 -.122763E-10
  .490000E+01 -.730111E-11  .176520E-11 -.131638E-10
  .495000E+01 -.782058E-11  .187291E-11 -.141052E-10
  .500000E+01 -.837097E-11  .198564E-11 -.151030E-10
  .505000E+01 -.895375E-11  .210357E-11 -.161602E-10
  .510000E+01 -.957046E-11  .222692E-11 -.172795E-10
  .515000E+01 -.102227E-10  .235589E-11 -.184638E-10
  .520000E+01 -.109120E-10  .249072E-11 -.197163E-10
  .525000E+01 -.116402E-10  .263166E-11 -.210401E-10
  .530000E+01 -.124090E-10  .277899E-11 -.224385E-10
  .535000E+01 -.132202E-10  .293298E-11 -.239150E-10
  .540000E+01 -.140757E-10  .309396E-11 -.254730E-10
  .545000E+01 -.149774E-10  .326226E-11 -.271162E-10
  .550000E+01 -.159273E-10  .343826E-11 -.288483E-10
  .555000E+01 -.169274E-10  .362236E-11 -.306734E-10
  .560000E+01 -.179800E-10  .381498E-11 -.325954E-10
  .565000E+01 -.190873E-10  .401661E-11 -.346184E-10
  .570000E+01 -.202514E-10  .422774E-11 -.367470E-10
  .575000E+01 -.214749E-10  .444893E-11 -.389854E-10
  .580000E+01 -.227601E-10  .468077E-11 -.413383E-10
  .585000E+01 -.241095E-10  .492390E-11 -.438106E-10
  .590000E+01 -.255257E-10  .517899E-11 -.464070E-10
