  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.798918E-21  .530724E-21 -.108834E-20
  .100000E+00 -.103638E-19  .688475E-20 -.141213E-19
  .150000E+00 -.683977E-19  .454369E-19 -.932208E-19
  .200000E+00 -.309369E-18  .205514E-18 -.421780E-18
  .250000E+00 -.108768E-17  .722540E-18 -.148345E-17
  .300000E+00 -.318873E-17  .211824E-17 -.435094E-17
  .350000E+00 -.814896E-17  .541320E-17 -.111246E-16
  .400000E+00 -.187070E-16  .124265E-16 -.255525E-16
  .450000E+00 -.394078E-16  .261768E-16 -.538622E-16
  .500000E+00 -.773795E-16  .513982E-16 -.105835E-15
  .550000E+00 -.143305E-15  .951847E-16 -.196152E-15
  .600000E+00 -.252603E-15  .167775E-15 -.346041E-15
  .650000E+00 -.426845E-15  .283490E-15 -.585253E-15
  .700000E+00 -.695412E-15  .461834E-15 -.954397E-15
  .750000E+00 -.109742E-14  .728775E-15 -.150766E-14
  .800000E+00 -.168394E-14  .111820E-14 -.231593E-14
  .850000E+00 -.252048E-14  .167358E-14 -.347039E-14
  .900000E+00 -.368980E-14  .244984E-14 -.508654E-14
  .950000E+00 -.529504E-14  .351542E-14 -.730873E-14
  .100000E+01 -.746322E-14  .495457E-14 -.103152E-13
  .105000E+01 -.103490E-13  .686993E-14 -.143238E-13
  .110000E+01 -.141388E-13  .938522E-14 -.195978E-13
  .115000E+01 -.190556E-13  .126483E-13 -.264532E-13
  .120000E+01 -.253635E-13  .168345E-13 -.352655E-13
  .125000E+01 -.333731E-13  .221500E-13 -.464782E-13
  .130000E+01 -.434473E-13  .288358E-13 -.606111E-13
  .135000E+01 -.560075E-13  .371715E-13 -.782700E-13
  .140000E+01 -.715396E-13  .474799E-13 -.100156E-12
  .145000E+01 -.906013E-13  .601314E-13 -.127078E-12
  .150000E+01 -.113829E-12  .755491E-13 -.159963E-12
  .155000E+01 -.141947E-12  .942136E-13 -.199866E-12
  .160000E+01 -.175773E-12  .116668E-12 -.247989E-12
  .165000E+01 -.216229E-12  .143526E-12 -.305689E-12
  .170000E+01 -.264348E-12  .175473E-12 -.374496E-12
  .175000E+01 -.321287E-12  .213278E-12 -.456128E-12
  .180000E+01 -.388331E-12  .257795E-12 -.552506E-12
  .185000E+01 -.466911E-12  .309973E-12 -.665773E-12
  .190000E+01 -.558606E-12  .370862E-12 -.798309E-12
  .195000E+01 -.665162E-12  .441621E-12 -.952757E-12
  .200000E+01 -.788496E-12  .523522E-12 -.113203E-11
  .205000E+01 -.930714E-12  .617963E-12 -.133935E-11
  .210000E+01 -.109412E-11  .726473E-12 -.157826E-11
  .215000E+01 -.128123E-11  .850719E-12 -.185263E-11
