ECLS  1 100.98 100.98 100.98  0.01  0.01  0.04  0.04
TDHS  1 115.86 115.86 115.86  0.01  0.01  0.04  0.04
WMGZ  1 116.06 116.06 116.06  0.01  0.01  0.04  0.04
PKGZ  1 145.75 145.75 145.75  0.01  0.01  0.04  0.04
TBAS  1 154.59 154.59 154.59  0.01  0.01  0.04  0.04
HAZ  1   0.00   0.00 168.70  0.01  0.01  0.04  0.04
GKBS  1   0.00   0.00 194.72  0.01  0.01  0.04  0.04
MWZ  1 209.78 209.78 209.78  0.01  0.01  0.04  0.04
KNZ  1 243.16   0.00 243.16  0.01  0.01  0.04  0.04
BKZ  1 333.70 333.70 333.70  0.01  0.01  0.04  0.04
WPWS  1   0.00   0.00 381.71  0.01  0.01  0.04  0.04
GRZ  1 399.66 399.66 399.66  0.01  0.01  0.04  0.04
RAO  1 929.01 929.01 929.01  0.01  0.01  0.02  0.02
