  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.205015E-21  .116559E-21 -.251271E-21
  .100000E+00 -.265924E-20  .151267E-20 -.325969E-20
  .150000E+00 -.175478E-19  .998803E-20 -.215139E-19
  .200000E+00 -.793580E-19  .452028E-19 -.973144E-19
  .250000E+00 -.278957E-18  .159030E-18 -.342160E-18
  .300000E+00 -.817646E-18  .466585E-18 -.100318E-17
  .350000E+00 -.208905E-17  .119341E-17 -.256390E-17
  .400000E+00 -.479444E-17  .274229E-17 -.588631E-17
  .450000E+00 -.100969E-16  .578303E-17 -.124012E-16
  .500000E+00 -.198195E-16  .113687E-16 -.243532E-16
  .550000E+00 -.366924E-16  .210814E-16 -.451066E-16
  .600000E+00 -.646531E-16  .372118E-16 -.795189E-16
  .650000E+00 -.109205E-15  .629742E-16 -.134387E-15
  .700000E+00 -.177838E-15  .102762E-15 -.218972E-15
  .750000E+00 -.280513E-15  .162447E-15 -.345608E-15
  .800000E+00 -.430221E-15  .249726E-15 -.530398E-15
  .850000E+00 -.643604E-15  .374513E-15 -.794011E-15
  .900000E+00 -.941665E-15  .549393E-15 -.116256E-14
  .950000E+00 -.135054E-14  .790129E-15 -.166862E-14
  .100000E+01 -.190238E-14  .111623E-14 -.235228E-14
  .105000E+01 -.263626E-14  .155158E-14 -.326241E-14
  .110000E+01 -.359923E-14  .212516E-14 -.445795E-14
  .115000E+01 -.484742E-14  .287179E-14 -.600934E-14
  .120000E+01 -.644724E-14  .383302E-14 -.800011E-14
  .125000E+01 -.847668E-14  .505805E-14 -.105285E-13
  .130000E+01 -.110266E-13  .660474E-14 -.137095E-13
  .135000E+01 -.142024E-13  .854072E-14 -.176763E-13
  .140000E+01 -.181252E-13  .109446E-13 -.225830E-13
  .145000E+01 -.229340E-13  .139073E-13 -.286061E-13
  .150000E+01 -.287867E-13  .175335E-13 -.359475E-13
  .155000E+01 -.358627E-13  .219428E-13 -.448365E-13
  .160000E+01 -.443641E-13  .272720E-13 -.555326E-13
  .165000E+01 -.545181E-13  .336761E-13 -.683281E-13
  .170000E+01 -.665788E-13  .413309E-13 -.835513E-13
  .175000E+01 -.808294E-13  .504342E-13 -.101569E-12
  .180000E+01 -.975846E-13  .612086E-13 -.122790E-12
  .185000E+01 -.117192E-12  .739033E-13 -.147668E-12
  .190000E+01 -.140037E-12  .887969E-13 -.176706E-12
  .195000E+01 -.166540E-12  .106199E-12 -.210458E-12
  .200000E+01 -.197165E-12  .126455E-12 -.249535E-12
  .205000E+01 -.232419E-12  .149947E-12 -.294607E-12
  .210000E+01 -.272852E-12  .177095E-12 -.346408E-12
  .215000E+01 -.319066E-12  .208366E-12 -.405738E-12
  .220000E+01 -.371711E-12  .244273E-12 -.473472E-12
  .225000E+01 -.431493E-12  .285377E-12 -.550559E-12
  .230000E+01 -.499173E-12  .332295E-12 -.638028E-12
  .235000E+01 -.575571E-12  .385703E-12 -.736994E-12
  .240000E+01 -.661568E-12  .446337E-12 -.848663E-12
  .245000E+01 -.758113E-12  .515000E-12 -.974333E-12
  .250000E+01 -.866217E-12  .592567E-12 -.111541E-11
  .255000E+01 -.986965E-12  .679988E-12 -.127338E-11
  .260000E+01 -.112151E-11  .778294E-12 -.144988E-11
  .265000E+01 -.127109E-11  .888602E-12 -.164662E-11
  .270000E+01 -.143701E-11  .101212E-11 -.186546E-11
  .275000E+01 -.162066E-11  .115015E-11 -.210838E-11
  .280000E+01 -.182351E-11  .130411E-11 -.237747E-11
  .285000E+01 -.204713E-11  .147551E-11 -.267498E-11
  .290000E+01 -.229315E-11  .166598E-11 -.300330E-11
  .295000E+01 -.256332E-11  .187728E-11 -.336497E-11
  .300000E+01 -.285947E-11  .211129E-11 -.376266E-11
  .305000E+01 -.318352E-11  .237004E-11 -.419924E-11
  .310000E+01 -.353750E-11  .265569E-11 -.467772E-11
  .315000E+01 -.392352E-11  .297055E-11 -.520129E-11
  .320000E+01 -.434382E-11  .331710E-11 -.577332E-11
  .325000E+01 -.480071E-11  .369800E-11 -.639736E-11
  .330000E+01 -.529664E-11  .411606E-11 -.707717E-11
  .335000E+01 -.583413E-11  .457428E-11 -.781668E-11
  .340000E+01 -.641584E-11  .507589E-11 -.862004E-11
  .345000E+01 -.704451E-11  .562428E-11 -.949162E-11
  .350000E+01 -.772301E-11  .622310E-11 -.104360E-10
  .355000E+01 -.845431E-11  .687619E-11 -.114580E-10
  .360000E+01 -.924150E-11  .758765E-11 -.125626E-10
  .365000E+01 -.100878E-10  .836183E-11 -.137551E-10
  .370000E+01 -.109964E-10  .920333E-11 -.150411E-10
  .375000E+01 -.119709E-10  .101170E-10 -.164263E-10
  .380000E+01 -.130147E-10  .111081E-10 -.179167E-10
  .385000E+01 -.141316E-10  .121821E-10 -.195187E-10
  .390000E+01 -.153251E-10  .133447E-10 -.212388E-10
  .395000E+01 -.165992E-10  .146020E-10 -.230838E-10
  .400000E+01 -.179579E-10  .159606E-10 -.250610E-10
  .405000E+01 -.194053E-10  .174272E-10 -.271776E-10
  .410000E+01 -.209454E-10  .190091E-10 -.294414E-10
  .415000E+01 -.225827E-10  .207138E-10 -.318605E-10
  .420000E+01 -.243214E-10  .225494E-10 -.344432E-10
  .425000E+01 -.261660E-10  .245244E-10 -.371981E-10
  .430000E+01 -.281211E-10  .266476E-10 -.401342E-10
  .435000E+01 -.301913E-10  .289283E-10 -.432608E-10
  .440000E+01 -.323814E-10  .313766E-10 -.465875E-10
  .445000E+01 -.346960E-10  .340027E-10 -.501243E-10
  .450000E+01 -.371402E-10  .368175E-10 -.538814E-10
  .455000E+01 -.397189E-10  .398327E-10 -.578697E-10
  .460000E+01 -.424369E-10  .430602E-10 -.621000E-10
  .465000E+01 -.452995E-10  .465127E-10 -.665837E-10
  .470000E+01 -.483116E-10  .502036E-10 -.713326E-10
  .475000E+01 -.514784E-10  .541468E-10 -.763589E-10
  .480000E+01 -.548052E-10  .583572E-10 -.816750E-10
  .485000E+01 -.582970E-10  .628502E-10 -.872937E-10
  .490000E+01 -.619591E-10  .676419E-10 -.932284E-10
  .495000E+01 -.657967E-10  .727494E-10 -.994926E-10
  .500000E+01 -.698151E-10  .781906E-10 -.106101E-09
  .505000E+01 -.740194E-10  .839842E-10 -.113066E-09
  .510000E+01 -.784149E-10  .901498E-10 -.120405E-09
  .515000E+01 -.830068E-10  .967080E-10 -.128132E-09
  .520000E+01 -.878002E-10  .103681E-09 -.136263E-09
  .525000E+01 -.928001E-10  .111090E-09 -.144814E-09
  .530000E+01 -.980117E-10  .118960E-09 -.153801E-09
  .535000E+01 -.103440E-09  .127315E-09 -.163242E-09
  .540000E+01 -.109089E-09  .136182E-09 -.173153E-09
  .545000E+01 -.114965E-09  .145587E-09 -.183552E-09
  .550000E+01 -.121071E-09  .155559E-09 -.194458E-09
  .555000E+01 -.127413E-09  .166128E-09 -.205889E-09
  .560000E+01 -.133994E-09  .177326E-09 -.217863E-09
  .565000E+01 -.140819E-09  .189184E-09 -.230402E-09
  .570000E+01 -.147892E-09  .201737E-09 -.243524E-09
  .575000E+01 -.155215E-09  .215020E-09 -.257249E-09
  .580000E+01 -.162794E-09  .229071E-09 -.271598E-09
  .585000E+01 -.170630E-09  .243929E-09 -.286593E-09
  .590000E+01 -.178728E-09  .259633E-09 -.302255E-09
  .595000E+01 -.187088E-09  .276228E-09 -.318605E-09
  .600000E+01 -.195714E-09  .293756E-09 -.335667E-09
  .605000E+01 -.204607E-09  .312265E-09 -.353462E-09
  .610000E+01 -.213768E-09  .331802E-09 -.372013E-09
  .615000E+01 -.223199E-09  .352417E-09 -.391345E-09
  .620000E+01 -.232899E-09  .374164E-09 -.411480E-09
  .625000E+01 -.242869E-09  .397096E-09 -.432443E-09
  .630000E+01 -.253107E-09  .421271E-09 -.454259E-09
  .635000E+01 -.263612E-09  .446747E-09 -.476952E-09
  .640000E+01 -.274382E-09  .473587E-09 -.500547E-09
  .645000E+01 -.285415E-09  .501855E-09 -.525070E-09
  .650000E+01 -.296706E-09  .531618E-09 -.550545E-09
  .655000E+01 -.308252E-09  .562944E-09 -.577000E-09
  .660000E+01 -.320048E-09  .595907E-09 -.604460E-09
  .665000E+01 -.332086E-09  .630582E-09 -.632952E-09
  .670000E+01 -.344361E-09  .667047E-09 -.662502E-09
  .675000E+01 -.356865E-09  .705383E-09 -.693136E-09
  .680000E+01 -.369589E-09  .745674E-09 -.724882E-09
  .685000E+01 -.382522E-09  .788009E-09 -.757767E-09
  .690000E+01 -.395655E-09  .832478E-09 -.791817E-09
