  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.142726E-22  .368441E-23 -.257788E-22
  .100000E+00 -.185406E-21  .478658E-22 -.334872E-21
  .150000E+00 -.122551E-20  .316404E-21 -.221345E-20
  .200000E+00 -.555243E-20  .143365E-20 -.100286E-19
  .250000E+00 -.195565E-19  .505015E-20 -.353229E-19
  .300000E+00 -.574429E-19  .148356E-19 -.103756E-18
  .350000E+00 -.147091E-18  .379916E-19 -.265692E-18
  .400000E+00 -.338371E-18  .873920E-19 -.611216E-18
  .450000E+00 -.714346E-18  .184456E-18 -.129037E-17
  .500000E+00 -.140581E-17  .362864E-18 -.253939E-17
  .550000E+00 -.260954E-17  .673240E-18 -.471365E-17
  .600000E+00 -.461073E-17  .118890E-17 -.832812E-17
  .650000E+00 -.780995E-17  .201277E-17 -.141062E-16
  .700000E+00 -.127551E-16  .328550E-17 -.230371E-16
  .750000E+00 -.201787E-16  .519489E-17 -.364438E-16
  .800000E+00 -.310411E-16  .798657E-17 -.560604E-16
  .850000E+00 -.465797E-16  .119762E-16 -.841214E-16
  .900000E+00 -.683644E-16  .175628E-16 -.123462E-15
  .950000E+00 -.983605E-16  .252441E-16 -.177633E-15
  .100000E+01 -.138998E-15  .356328E-16 -.251026E-15
  .105000E+01 -.193247E-15  .494749E-16 -.349015E-15
  .110000E+01 -.264708E-15  .676701E-16 -.478112E-15
  .115000E+01 -.357700E-15  .912929E-16 -.646137E-15
  .120000E+01 -.477366E-15  .121616E-15 -.862406E-15
  .125000E+01 -.629788E-15  .160134E-15 -.113793E-14
  .130000E+01 -.822102E-15  .208592E-15 -.148566E-14
  .135000E+01 -.106263E-14  .269013E-15 -.192067E-14
  .140000E+01 -.136104E-14  .343732E-15 -.246048E-14
  .145000E+01 -.172845E-14  .435428E-15 -.312528E-14
  .150000E+01 -.217764E-14  .547159E-15 -.393828E-14
  .155000E+01 -.272321E-14  .682398E-15 -.492594E-14
  .160000E+01 -.338175E-14  .845065E-15 -.611840E-14
  .165000E+01 -.417207E-14  .103957E-14 -.754977E-14
  .170000E+01 -.511538E-14  .127083E-14 -.925852E-14
  .175000E+01 -.623553E-14  .154434E-14 -.112879E-13
  .180000E+01 -.755923E-14  .186619E-14 -.136864E-13
  .185000E+01 -.911631E-14  .224313E-14 -.165080E-13
  .190000E+01 -.109400E-13  .268258E-14 -.198129E-13
  .195000E+01 -.130670E-13  .319271E-14 -.236680E-13
  .200000E+01 -.155381E-13  .378243E-14 -.281471E-13
  .205000E+01 -.183984E-13  .446150E-14 -.333318E-13
  .210000E+01 -.216972E-13  .524053E-14 -.393120E-13
  .215000E+01 -.254890E-13  .613104E-14 -.461864E-13
