  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.792867E-21  .537018E-21 -.106081E-20
  .100000E+00 -.102854E-19  .696646E-20 -.137640E-19
  .150000E+00 -.678811E-19  .459769E-19 -.908601E-19
  .200000E+00 -.307036E-18  .207961E-18 -.411087E-18
  .250000E+00 -.107950E-17  .731165E-18 -.144579E-17
  .300000E+00 -.316482E-17  .214361E-17 -.424027E-17
  .350000E+00 -.808808E-17  .547825E-17 -.108410E-16
  .400000E+00 -.185678E-16  .125765E-16 -.248994E-16
  .450000E+00 -.391157E-16  .264943E-16 -.524814E-16
  .500000E+00 -.768084E-16  .520253E-16 -.103112E-15
  .550000E+00 -.142252E-15  .963537E-16 -.191086E-15
  .600000E+00 -.250755E-15  .169851E-15 -.337064E-15
  .650000E+00 -.423735E-15  .287026E-15 -.569998E-15
  .700000E+00 -.690369E-15  .467648E-15 -.929389E-15
  .750000E+00 -.108950E-14  .738041E-15 -.146793E-14
  .800000E+00 -.167185E-14  .113258E-14 -.225454E-14
  .850000E+00 -.250248E-14  .169535E-14 -.337781E-14
  .900000E+00 -.366358E-14  .248211E-14 -.494994E-14
  .950000E+00 -.525761E-14  .356234E-14 -.711109E-14
  .100000E+01 -.741073E-14  .502162E-14 -.100342E-13
  .105000E+01 -.102766E-13  .696423E-14 -.139306E-13
  .110000E+01 -.140405E-13  .951595E-14 -.190557E-13
  .115000E+01 -.189238E-13  .128272E-13 -.257155E-13
  .120000E+01 -.251890E-13  .170762E-13 -.342738E-13
  .125000E+01 -.331447E-13  .224728E-13 -.451601E-13
  .130000E+01 -.431517E-13  .292624E-13 -.588772E-13
  .135000E+01 -.556284E-13  .377296E-13 -.760111E-13
  .140000E+01 -.710577E-13  .482032E-13 -.972399E-13
  .145000E+01 -.899937E-13  .610609E-13 -.123344E-12
  .150000E+01 -.113069E-12  .767337E-13 -.155219E-12
  .155000E+01 -.141001E-12  .957120E-13 -.193885E-12
  .160000E+01 -.174604E-12  .118551E-12 -.240499E-12
  .165000E+01 -.214792E-12  .145875E-12 -.296371E-12
  .170000E+01 -.262592E-12  .178386E-12 -.362977E-12
  .175000E+01 -.319150E-12  .216870E-12 -.441972E-12
  .180000E+01 -.385744E-12  .262201E-12 -.535207E-12
  .185000E+01 -.463793E-12  .315350E-12 -.644747E-12
  .190000E+01 -.554864E-12  .377393E-12 -.772886E-12
  .195000E+01 -.660690E-12  .449516E-12 -.922168E-12
  .200000E+01 -.783174E-12  .533026E-12 -.109540E-11
  .205000E+01 -.924407E-12  .629356E-12 -.129569E-11
  .210000E+01 -.108668E-11  .740074E-12 -.152643E-11
  .215000E+01 -.127248E-11  .866893E-12 -.179138E-11
  .220000E+01 -.148454E-11  .101168E-11 -.209461E-11
  .225000E+01 -.172581E-11  .117645E-11 -.244060E-11
  .230000E+01 -.199951E-11  .136341E-11 -.283422E-11
  .235000E+01 -.230912E-11  .157493E-11 -.328078E-11
  .240000E+01 -.265838E-11  .181358E-11 -.378602E-11
  .245000E+01 -.305136E-11  .208211E-11 -.435620E-11
  .250000E+01 -.349243E-11  .238349E-11 -.499806E-11
  .255000E+01 -.398627E-11  .272092E-11 -.571890E-11
  .260000E+01 -.453792E-11  .309782E-11 -.652658E-11
  .265000E+01 -.515279E-11  .351783E-11 -.742959E-11
  .270000E+01 -.583665E-11  .398486E-11 -.843702E-11
  .275000E+01 -.659568E-11  .450308E-11 -.955869E-11
  .280000E+01 -.743646E-11  .507692E-11 -.108051E-10
  .285000E+01 -.836601E-11  .571109E-11 -.121874E-10
  .290000E+01 -.939179E-11  .641059E-11 -.137178E-10
  .295000E+01 -.105217E-10  .718074E-11 -.154090E-10
  .300000E+01 -.117643E-10  .802714E-11 -.172748E-10
  .305000E+01 -.131283E-10  .895574E-11 -.193298E-10
  .310000E+01 -.146233E-10  .997281E-11 -.215896E-10
  .315000E+01 -.162593E-10  .110850E-10 -.240707E-10
  .320000E+01 -.180467E-10  .122992E-10 -.267909E-10
  .325000E+01 -.199968E-10  .136228E-10 -.297688E-10
  .330000E+01 -.221212E-10  .150635E-10 -.330242E-10
  .335000E+01 -.244323E-10  .166294E-10 -.365783E-10
  .340000E+01 -.269432E-10  .183290E-10 -.404532E-10
  .345000E+01 -.296673E-10  .201712E-10 -.446726E-10
  .350000E+01 -.326191E-10  .221653E-10 -.492613E-10
  .355000E+01 -.358136E-10  .243210E-10 -.542457E-10
  .360000E+01 -.392664E-10  .266485E-10 -.596535E-10
  .365000E+01 -.429941E-10  .291584E-10 -.655140E-10
  .370000E+01 -.470139E-10  .318618E-10 -.718581E-10
  .375000E+01 -.513438E-10  .347702E-10 -.787181E-10
  .380000E+01 -.560025E-10  .378956E-10 -.861283E-10
  .385000E+01 -.610097E-10  .412505E-10 -.941246E-10
  .390000E+01 -.663857E-10  .448478E-10 -.102745E-09
  .395000E+01 -.721518E-10  .487012E-10 -.112028E-09
  .400000E+01 -.783301E-10  .528245E-10 -.122016E-09
  .405000E+01 -.849436E-10  .572324E-10 -.132753E-09
  .410000E+01 -.920161E-10  .619399E-10 -.144284E-09
  .415000E+01 -.995725E-10  .669626E-10 -.156657E-09
