  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.728063E-23  .414511E-23 -.891997E-23
  .100000E+00 -.945388E-22  .538522E-22 -.115842E-21
  .150000E+00 -.624597E-21  .356010E-21 -.765479E-21
  .200000E+00 -.282840E-20  .161332E-20 -.346708E-20
  .250000E+00 -.995632E-20  .568389E-20 -.122075E-19
  .300000E+00 -.292261E-19  .167009E-19 -.358445E-19
  .350000E+00 -.747864E-19  .427825E-19 -.917509E-19
  .400000E+00 -.171909E-18  .984634E-19 -.210979E-18
  .450000E+00 -.362621E-18  .207978E-18 -.445208E-18
  .500000E+00 -.712974E-18  .409527E-18 -.875725E-18
  .550000E+00 -.132215E-17  .760667E-18 -.162471E-17
  .600000E+00 -.233361E-17  .134494E-17 -.286905E-17
  .650000E+00 -.394840E-17  .227992E-17 -.485695E-17
  .700000E+00 -.644094E-17  .372675E-17 -.792755E-17
  .750000E+00 -.101772E-16  .590140E-17 -.125338E-16
  .800000E+00 -.156360E-16  .908770E-17 -.192688E-16
  .850000E+00 -.234322E-16  .136524E-16 -.288959E-16
  .900000E+00 -.343443E-16  .200622E-16 -.423826E-16
  .950000E+00 -.493441E-16  .289034E-16 -.609387E-16
  .100000E+01 -.696299E-16  .409037E-16 -.860583E-16
  .105000E+01 -.966632E-16  .569566E-16 -.119567E-15
  .110000E+01 -.132209E-15  .781487E-16 -.163675E-15
  .115000E+01 -.178378E-15  .105790E-15 -.221029E-15
  .120000E+01 -.237678E-15  .141449E-15 -.294779E-15
  .125000E+01 -.313060E-15  .186984E-15 -.388641E-15
  .130000E+01 -.407975E-15  .244592E-15 -.506972E-15
  .135000E+01 -.526435E-15  .316846E-15 -.654847E-15
  .140000E+01 -.673071E-15  .406743E-15 -.838137E-15
  .145000E+01 -.853206E-15  .517763E-15 -.106361E-14
  .150000E+01 -.107292E-14  .653916E-15 -.133901E-14
  .155000E+01 -.133912E-14  .819811E-15 -.167316E-14
  .160000E+01 -.165964E-14  .102072E-14 -.207611E-14
  .165000E+01 -.204329E-14  .126264E-14 -.255916E-14
  .170000E+01 -.249997E-14  .155239E-14 -.313509E-14
  .175000E+01 -.304075E-14  .189766E-14 -.381820E-14
  .180000E+01 -.367796E-14  .230713E-14 -.462448E-14
  .185000E+01 -.442530E-14  .279057E-14 -.557174E-14
  .190000E+01 -.529793E-14  .335888E-14 -.667977E-14
  .195000E+01 -.631256E-14  .402426E-14 -.797048E-14
  .200000E+01 -.748760E-14  .480031E-14 -.946805E-14
  .205000E+01 -.884323E-14  .570212E-14 -.111991E-13
  .210000E+01 -.104015E-13  .674642E-14 -.131930E-13
  .215000E+01 -.121867E-13  .795174E-14 -.154816E-13
  .220000E+01 -.142248E-13  .933850E-14 -.181002E-13
  .225000E+01 -.165445E-13  .109292E-13 -.210868E-13
  .230000E+01 -.191766E-13  .127485E-13 -.244832E-13
  .235000E+01 -.221546E-13  .148237E-13 -.283345E-13
  .240000E+01 -.255146E-13  .171844E-13 -.326897E-13
  .245000E+01 -.292953E-13  .198630E-13 -.376019E-13
  .250000E+01 -.335385E-13  .228950E-13 -.431285E-13
  .255000E+01 -.382891E-13  .263192E-13 -.493310E-13
  .260000E+01 -.435950E-13  .301773E-13 -.562762E-13
  .265000E+01 -.495076E-13  .345152E-13 -.640356E-13
  .270000E+01 -.560816E-13  .393823E-13 -.726858E-13
  .275000E+01 -.633755E-13  .448322E-13 -.823093E-13
  .280000E+01 -.714514E-13  .509230E-13 -.929939E-13
  .285000E+01 -.803752E-13  .577174E-13 -.104834E-12
  .290000E+01 -.902170E-13  .652829E-13 -.117930E-12
  .295000E+01 -.101051E-12  .736926E-13 -.132388E-12
  .300000E+01 -.112956E-12  .830248E-13 -.148324E-12
  .305000E+01 -.126014E-12  .933641E-13 -.165858E-12
