  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.407140E-22  .105101E-22 -.735364E-22
  .100000E+00 -.528786E-21  .136516E-21 -.955071E-21
  .150000E+00 -.349447E-20  .902207E-21 -.631152E-20
  .200000E+00 -.158287E-19  .408703E-20 -.285893E-19
  .250000E+00 -.557373E-19  .143933E-19 -.100673E-18
  .300000E+00 -.163674E-18  .422715E-19 -.295635E-18
  .350000E+00 -.418998E-18  .108221E-18 -.756838E-18
  .400000E+00 -.963599E-18  .248872E-18 -.174060E-17
  .450000E+00 -.203371E-17  .525136E-18 -.367363E-17
  .500000E+00 -.400111E-17  .103276E-17 -.722744E-17
  .550000E+00 -.742492E-17  .191556E-17 -.134117E-16
  .600000E+00 -.131150E-16  .338176E-17 -.236890E-16
  .650000E+00 -.222084E-16  .572349E-17 -.401123E-16
  .700000E+00 -.362594E-16  .933981E-17 -.654887E-16
  .750000E+00 -.573455E-16  .147632E-16 -.103569E-15
  .800000E+00 -.881883E-16  .226899E-16 -.159269E-15
  .850000E+00 -.132293E-15  .340139E-16 -.238917E-15
  .900000E+00 -.194106E-15  .498652E-16 -.350544E-15
  .950000E+00 -.279186E-15  .716521E-16 -.504194E-15
  .100000E+01 -.394408E-15  .101107E-15 -.712293E-15
  .105000E+01 -.548172E-15  .140340E-15 -.990031E-15
  .110000E+01 -.750646E-15  .191892E-15 -.135581E-14
  .115000E+01 -.101403E-14  .258796E-15 -.183171E-14
  .120000E+01 -.135284E-14  .344645E-15 -.244404E-14
  .125000E+01 -.178424E-14  .453655E-15 -.322387E-14
  .130000E+01 -.232835E-14  .590745E-15 -.420768E-14
  .135000E+01 -.300863E-14  .761615E-15 -.543800E-14
  .140000E+01 -.385227E-14  .972840E-15 -.696416E-14
  .145000E+01 -.489064E-14  .123196E-14 -.884304E-14
  .150000E+01 -.615967E-14  .154758E-14 -.111399E-13
  .155000E+01 -.770041E-14  .192945E-14 -.139292E-13
  .160000E+01 -.955951E-14  .238860E-14 -.172956E-13
  .165000E+01 -.117898E-13  .293740E-14 -.213350E-13
  .170000E+01 -.144509E-13  .358966E-14 -.261554E-13
  .175000E+01 -.176096E-13  .436079E-14 -.318783E-13
  .180000E+01 -.213410E-13  .526786E-14 -.386394E-13
  .185000E+01 -.257286E-13  .632976E-14 -.465903E-13
  .190000E+01 -.308655E-13  .756728E-14 -.558998E-13
  .195000E+01 -.368547E-13  .900324E-14 -.667549E-13
  .200000E+01 -.438103E-13  .106626E-13 -.793624E-13
  .205000E+01 -.518580E-13  .125726E-13 -.939507E-13
  .210000E+01 -.611363E-13  .147629E-13 -.110771E-12
  .215000E+01 -.717971E-13  .172655E-13 -.130099E-12
  .220000E+01 -.840068E-13  .201155E-13 -.152236E-12
  .225000E+01 -.979468E-13  .233503E-13 -.177514E-12
  .230000E+01 -.113815E-12  .270107E-13 -.206291E-12
  .235000E+01 -.131827E-12  .311403E-13 -.238961E-12
  .240000E+01 -.152216E-12  .357861E-13 -.275949E-12
