  .000000E+00  .000000E+00  .000000E+00  .000000E+00
  .500000E-01 -.281507E-22  .190676E-22 -.376655E-22
  .100000E+00 -.365579E-21  .247622E-21 -.489237E-21
  .150000E+00 -.241564E-20  .163622E-20 -.323348E-20
  .200000E+00 -.109407E-19  .741065E-20 -.146489E-19
  .250000E+00 -.385202E-19  .260917E-19 -.515925E-19
  .300000E+00 -.113099E-18  .766081E-19 -.151537E-18
  .350000E+00 -.289484E-18  .196083E-18 -.388028E-18
  .400000E+00 -.665620E-18  .450862E-18 -.892622E-18
  .450000E+00 -.140449E-17  .951348E-18 -.188445E-17
  .500000E+00 -.276243E-17  .187118E-17 -.370853E-17
  .550000E+00 -.512463E-17  .347131E-17 -.688402E-17
  .600000E+00 -.904871E-17  .612949E-17 -.121635E-16
  .650000E+00 -.153169E-16  .103757E-16 -.206041E-16
  .700000E+00 -.249979E-16  .169340E-16 -.336527E-16
  .750000E+00 -.395185E-16  .267714E-16 -.532445E-16
  .800000E+00 -.607468E-16  .411540E-16 -.819178E-16
  .850000E+00 -.910863E-16  .617112E-16 -.122945E-15
  .900000E+00 -.133583E-15  .905080E-16 -.180482E-15
  .950000E+00 -.192043E-15  .130127E-15 -.259735E-15
  .100000E+01 -.271169E-15  .183757E-15 -.367148E-15
  .105000E+01 -.376703E-15  .255295E-15 -.510615E-15
  .110000E+01 -.515591E-15  .349459E-15 -.699705E-15
  .115000E+01 -.696158E-15  .471900E-15 -.945921E-15
  .120000E+01 -.928302E-15  .629345E-15 -.126297E-14
  .125000E+01 -.122370E-14  .829730E-15 -.166709E-14
  .130000E+01 -.159603E-14  .108236E-14 -.217735E-14
  .135000E+01 -.206123E-14  .139807E-14 -.281601E-14
  .140000E+01 -.263772E-14  .178941E-14 -.360894E-14
  .145000E+01 -.334673E-14  .227084E-14 -.458600E-14
  .150000E+01 -.421253E-14  .285891E-14 -.578151E-14
  .155000E+01 -.526282E-14  .357250E-14 -.723472E-14
  .160000E+01 -.652899E-14  .443307E-14 -.899030E-14
  .165000E+01 -.804652E-14  .546484E-14 -.110990E-13
  .170000E+01 -.985533E-14  .669509E-14 -.136179E-13
  .175000E+01 -.120002E-13  .815445E-14 -.166117E-13
  .180000E+01 -.145310E-13  .987714E-14 -.201525E-13
  .185000E+01 -.175036E-13  .119013E-13 -.243213E-13
  .190000E+01 -.209797E-13  .142692E-13 -.292081E-13
  .195000E+01 -.250277E-13  .170278E-13 -.349131E-13
