60.99	1.75	0.3 +
62.37	24.30	0.3 +
69.77	8.45	0.3 +
73.26	26.01	0.3 +
76.00	0.00	0.3 +
76.00	0.00	0.3 +
77.17	20.52	0.3 +
73.27	43.76	0.3 -
77.58	27.44	0.3 +
79.90	7.88	0.3 +
80.38	33.62	0.3 -
54.50	8.99	0.3 +
58.88	14.67	0.3 +
59.86	5.19	0.3 +
66.17	14.70	0.3 +
62.19	36.58	0.3 -
68.90	40.03	0.3 -
68.27	41.89	0.3 -
69.48	38.16	0.3 -
75.53	14.54	0.3 +
77.74	11.73	0.3 +
75.34	41.06	0.3 -
78.89	7.85	0.3 +
78.67	13.74	0.3 +
79.42	31.56	0.3 -
80.77	12.84	0.3 +
80.43	19.74	0.3 +
80.98	3.95	0.3 +
82.98	3.97	0.3 +
79.19	49.49	0.3 -
82.35	23.81	0.3 +
82.79	13.89	0.3 +
81.40	45.68	0.3 -
83.21	27.83	0.3 +
82.07	40.73	0.3 -
83.21	27.83	0.3 +
83.27	26.84	0.3 +
83.96	-6.96	0.3 +
83.58	-20.88	0.3 +
83.21	27.83	0.3 +
83.15	28.83	0.3 +
83.15	28.83	0.3 +
83.15	28.83	0.3 +
83.53	21.87	0.3 +
84.82	14.94	0.3 +
84.92	-9.96	0.3 +
