   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
    1     0.190     179.870377     -37.254292     102.000000      5.00     10.00   151.187    79.911   151.318    -25.00    -30.00    1
    2     0.334     179.851135     -37.296638     102.000000      5.00     10.00   238.958    60.672     3.456    -20.00    -30.00    0
    3     0.485     179.831894     -37.338982     102.000000      5.00     10.00   234.376    60.175     3.652    -15.00    -30.00    0
    4     0.574     179.812607     -37.381321     102.000000      5.00     10.00   230.844    64.211     2.552    -10.00    -30.00    0
    5     0.645     179.793320     -37.423660     102.000000      5.00     10.00   226.357    68.433    -2.000     -5.00    -30.00    0
    6     0.673     179.774002     -37.466000     102.000000      5.00     10.00   223.062    69.792    -5.445      0.00    -30.00    0
    7     0.661     179.754654     -37.508331     102.000000      5.00     10.00   222.446    70.965     1.769      5.00    -30.00    0
    8     0.602     179.735306     -37.550659     102.000000      5.00     10.00   222.869    74.420    10.808     10.00    -30.00    0
    9     0.554     179.715912     -37.592991     102.000000      5.00     10.00   224.400    83.108    13.544     15.00    -30.00    0
   10     0.528     179.696503     -37.635311     102.000000      5.00     10.00   229.110    89.547    17.679     20.00    -30.00    0
   11     0.451     179.677078     -37.677631     102.000000      5.00     10.00   236.546    88.176    19.693     25.00    -30.00    0
   12     0.338     179.657623     -37.719940     102.000000      5.00     10.00   244.414    81.487    25.909     30.00    -30.00    0
   13     0.219     179.638153     -37.762249     102.000000      5.00     10.00   154.451    68.149   159.315     35.00    -30.00    1
   14     0.116     179.618668     -37.804562     102.000000      5.00     10.00   345.728    84.912  -161.775     40.00    -30.00    0
   15     0.374     179.870377     -37.254292      92.000000      5.00     10.00   330.491    52.789   162.200    -25.00    -20.00    1
   16     0.635     179.851135     -37.296638      92.000000      5.00     10.00   331.302    54.114   174.240    -20.00    -20.00    1
   17     0.798     179.831894     -37.338982      92.000000      5.00     10.00   232.289    68.741   -17.118    -15.00    -20.00    0
   18     1.005     179.812607     -37.381321      92.000000      5.00     10.00   227.611    67.563   -16.158    -10.00    -20.00    0
   19     1.133     179.793320     -37.423660      92.000000      5.00     10.00   225.286    70.370   -15.802     -5.00    -20.00    0
   20     1.199     179.774002     -37.466000      92.000000      5.00     10.00   224.590    77.816   -16.646      0.00    -20.00    0
   21     1.198     179.754654     -37.508331      92.000000      5.00     10.00   224.939    87.317   -16.747      5.00    -20.00    0
   22     1.165     179.735306     -37.550659      92.000000      5.00     10.00   314.059    72.057   171.293     10.00    -20.00    1
   23     1.113     179.715912     -37.592991      92.000000      5.00     10.00   314.051    71.795   163.122     15.00    -20.00    1
   24     1.039     179.696503     -37.635311      92.000000      5.00     10.00   315.746    72.478   155.866     20.00    -20.00    1
   25     0.915     179.677078     -37.677631      92.000000      5.00     10.00   321.198    72.465   154.823     25.00    -20.00    1
   26     0.691     179.657623     -37.719940      92.000000      5.00     10.00   326.025    68.644   155.601     30.00    -20.00    1
   27     0.445     179.638153     -37.762249      92.000000      5.00     10.00   332.342    65.286   161.756     35.00    -20.00    1
   28     0.244     179.618668     -37.804562      92.000000      5.00     10.00   340.512    52.557   174.197     40.00    -20.00    0
   29     0.415     179.870377     -37.254292      82.000000      5.00     10.00   233.617    50.759    18.762    -25.00    -10.00    0
   30     0.736     179.851135     -37.296638      82.000000      5.00     10.00   230.789    51.503    16.089    -20.00    -10.00    0
   31     1.010     179.831894     -37.338982      82.000000      5.00     10.00   227.248    54.210    10.774    -15.00    -10.00    0
   32     1.265     179.812607     -37.381321      82.000000      5.00     10.00   223.939    64.041     1.301    -10.00    -10.00    0
   33     1.443     179.793320     -37.423660      82.000000      5.00     10.00   222.802    69.067    -3.449     -5.00    -10.00    0
   34     1.484     179.774002     -37.466000      82.000000      5.00     10.00   222.495    76.765    -8.600      0.00    -10.00    0
   35     1.448     179.754654     -37.508331      82.000000      5.00     10.00   223.788    89.216   -17.271      5.00    -10.00    0
   36     1.442     179.735306     -37.550659      82.000000      5.00     10.00   311.746    62.766   167.052     10.00    -10.00    1
   37     1.355     179.715912     -37.592991      82.000000      5.00     10.00   310.474    60.559   160.126     15.00    -10.00    1
   38     1.249     179.696503     -37.635311      82.000000      5.00     10.00   309.905    62.161   153.096     20.00    -10.00    1
   39     1.066     179.677078     -37.677631      82.000000      5.00     10.00   311.236    61.846   149.911     25.00    -10.00    1
   40     0.721     179.657623     -37.719940      82.000000      5.00     10.00   313.858    62.599   150.736     30.00    -10.00    1
