   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
    1     179.870377     -37.254292     102.000000     0.468   279.243    90.000     0.000   189.243    90.000   180.000    -25.00    -30.00    0
    2     179.851135     -37.296638     102.000000     0.840   278.655    90.000     0.000   188.655    90.000   180.000    -20.00    -30.00    0
    3     179.831894     -37.338982     102.000000     1.128   279.279    90.000     0.000   189.279    90.000   180.000    -15.00    -30.00    0
    4     179.812607     -37.381321     102.000000     1.331   278.548    90.000     0.000   188.548    90.000   180.000    -10.00    -30.00    0
    5     179.793320     -37.423660     102.000000     1.433   276.637    90.000     0.000   186.637    90.000   180.000     -5.00    -30.00    0
    6     179.774002     -37.466000     102.000000     1.462   274.323    90.000     0.000   184.323    90.000   180.000      0.00    -30.00    0
    7     179.754654     -37.508331     102.000000     1.429   272.617    90.000     0.000   182.617    90.000   180.000      5.00    -30.00    0
    8     179.735306     -37.550659     102.000000     1.329   271.848    90.000     0.000   181.848    90.000   180.000     10.00    -30.00    0
    9     179.715912     -37.592991     102.000000     1.171   270.223    90.000     0.000   180.223    90.000   180.000     15.00    -30.00    0
   10     179.696503     -37.635311     102.000000     0.977   359.170    90.000   180.000    89.170    90.000     0.000     20.00    -30.00    0
   11     179.677078     -37.677631     102.000000     0.775   359.678    90.000   180.000    89.678    90.000     0.000     25.00    -30.00    0
   12     179.657623     -37.719940     102.000000     0.585   272.795    90.000     0.000   182.795    90.000   180.000     30.00    -30.00    0
   13     179.638153     -37.762249     102.000000     0.412   278.042    90.000     0.000   188.042    90.000   180.000     35.00    -30.00    0
   14     179.618668     -37.804562     102.000000     0.209   278.069    90.000     0.000   188.069    90.000   180.000     40.00    -30.00    0
   15     179.870377     -37.254292      92.000000     0.762   270.647    90.000     0.000   180.647    90.000   180.000    -25.00    -20.00    0
   16     179.851135     -37.296638      92.000000     1.395   270.974    90.000     0.000   180.974    90.000   180.000    -20.00    -20.00    0
   17     179.831894     -37.338982      92.000000     1.903   270.705    90.000     0.000   180.705    90.000   180.000    -15.00    -20.00    0
   18     179.812607     -37.381321      92.000000     2.231   359.970    90.000   180.000    89.970    90.000     0.000    -10.00    -20.00    0
   19     179.793320     -37.423660      92.000000     2.422   359.157    90.000   180.000    89.157    90.000     0.000     -5.00    -20.00    0
   20     179.774002     -37.466000      92.000000     2.489   358.680    90.000   180.000    88.680    90.000     0.000      0.00    -20.00    0
   21     179.754654     -37.508331      92.000000     2.439   358.643    90.000   180.000    88.643    90.000     0.000      5.00    -20.00    0
   22     179.735306     -37.550659      92.000000     2.284   359.378    90.000   180.000    89.378    90.000     0.000     10.00    -20.00    0
   23     179.715912     -37.592991      92.000000     2.053   271.199    90.000     0.000   181.199    90.000   180.000     15.00    -20.00    0
   24     179.696503     -37.635311      92.000000     1.769   272.881    90.000     0.000   182.881    90.000   180.000     20.00    -20.00    0
   25     179.677078     -37.677631      92.000000     1.465   274.960    90.000     0.000   184.960    90.000   180.000     25.00    -20.00    0
   26     179.657623     -37.719940      92.000000     1.173   279.388    90.000     0.000   189.388    90.000   180.000     30.00    -20.00    0
   27     179.638153     -37.762249      92.000000     0.849   283.532    90.000     0.000   193.532    90.000   180.000     35.00    -20.00    0
   28     179.618668     -37.804562      92.000000     0.481   289.273    90.000     0.000   199.273    90.000   180.000     40.00    -20.00    0
   29     179.870377     -37.254292      82.000000     0.917   356.522    90.000   180.000    86.522    90.000     0.000    -25.00    -10.00    0
   30     179.851135     -37.296638      82.000000     1.666   357.426    90.000   180.000    87.426    90.000     0.000    -20.00    -10.00    0
   31     179.831894     -37.338982      82.000000     2.201   357.600    90.000   180.000    87.600    90.000     0.000    -15.00    -10.00    0
   32     179.812607     -37.381321      82.000000     2.482   358.561    90.000   180.000    88.561    90.000     0.000    -10.00    -10.00    0
   33     179.793320     -37.423660      82.000000     2.645   359.477    90.000   180.000    89.477    90.000     0.000     -5.00    -10.00    0
   34     179.774002     -37.466000      82.000000     2.695   270.150    90.000     0.000   180.150    90.000   180.000      0.00    -10.00    0
   35     179.754654     -37.508331      82.000000     2.630   270.964    90.000     0.000   180.964    90.000   180.000      5.00    -10.00    0
   36     179.735306     -37.550659      82.000000     2.429   271.725    90.000     0.000   181.725    90.000   180.000     10.00    -10.00    0
   37     179.715912     -37.592991      82.000000     2.151   273.712    90.000     0.000   183.712    90.000   180.000     15.00    -10.00    0
   38     179.696503     -37.635311      82.000000     1.799   277.146    90.000     0.000   187.146    90.000   180.000     20.00    -10.00    0
   39     179.677078     -37.677631      82.000000     1.426   280.966    90.000     0.000   190.966    90.000   180.000     25.00    -10.00    0
   40     179.657623     -37.719940      82.000000     1.085   286.364    90.000     0.000   196.364    90.000   180.000     30.00    -10.00    0
   41     179.638153     -37.762249      82.000000     0.743   291.135    90.000     0.000   201.135    90.000   180.000     35.00    -10.00    0
   42     179.618668     -37.804562      82.000000     0.393   295.110    90.000     0.000   205.110    90.000   180.000     40.00    -10.00    0
   43     179.870377     -37.254292      72.000000     0.715   344.397    90.000   180.000    74.397    90.000     0.000    -25.00      0.00    0
   44     179.851135     -37.296638      72.000000     1.288   345.767    90.000   180.000    75.767    90.000     0.000    -20.00      0.00    0
   45     179.831894     -37.338982      72.000000     1.617   350.658    90.000   180.000    80.658    90.000     0.000    -15.00      0.00    0
   46     179.812607     -37.381321      72.000000     1.888   354.631    90.000   180.000    84.631    90.000     0.000    -10.00      0.00    0
   47     179.793320     -37.423660      72.000000     2.040   357.309    90.000   180.000    87.309    90.000     0.000     -5.00      0.00    0
   48     179.774002     -37.466000      72.000000     2.053   359.700    90.000   180.000    89.700    90.000     0.000      0.00      0.00    0
   49     179.754654     -37.508331      72.000000     1.959   272.639    90.000     0.000   182.639    90.000   180.000      5.00      0.00    0
   50     179.735306     -37.550659      72.000000     1.773   276.844    90.000     0.000   186.844    90.000   180.000     10.00      0.00    0
   51     179.715912     -37.592991      72.000000     1.523   282.275    90.000     0.000   192.275    90.000   180.000     15.00      0.00    0
   52     179.696503     -37.635311      72.000000     1.204   287.016    90.000     0.000   197.016    90.000   180.000     20.00      0.00    0
   53     179.677078     -37.677631      72.000000     0.905   294.307    90.000     0.000   204.307    90.000   180.000     25.00      0.00    0
   54     179.657623     -37.719940      72.000000     0.642   304.482    90.000     0.000   214.482    90.000   180.000     30.00      0.00    0
   55     179.638153     -37.762249      72.000000     0.468   313.850    90.000     0.000   223.850    90.000   180.000     35.00      0.00    0
   56     179.618668     -37.804562      72.000000     0.283   318.360    90.000     0.000   228.360    90.000   180.000     40.00      0.00    0
   57     179.870377     -37.254292      62.000000     0.874   313.629    90.000   180.000    43.629    90.000     0.000    -25.00     10.00    1
   58     179.851135     -37.296638      62.000000     1.267   314.677    90.000   180.000    44.677    90.000     0.000    -20.00     10.00    1
   59     179.831894     -37.338982      62.000000     1.227   317.223    90.000   180.000    47.223    90.000     0.000    -15.00     10.00    1
   60     179.812607     -37.381321      62.000000     1.169   323.258    90.000   180.000    53.258    90.000     0.000    -10.00     10.00    1
   61     179.793320     -37.423660      62.000000     0.927   332.053    90.000   180.000    62.053    90.000     0.000     -5.00     10.00    1
   62     179.774002     -37.466000      62.000000     0.678   340.156    90.000   180.000    70.156    90.000     0.000      0.00     10.00    0
   63     179.754654     -37.508331      62.000000     0.425   350.362    90.000   180.000    80.362    90.000     0.000      5.00     10.00    0
   64     179.735306     -37.550659      62.000000     0.174   276.093    90.000     0.000   186.093    90.000   180.000     10.00     10.00    0
   65     179.715912     -37.592991      62.000000     0.274   328.034    90.000     0.000   238.035    90.000   180.000     15.00     10.00    0
   66     179.696503     -37.635311      62.000000     0.510   339.425    90.000     0.000   249.425    90.000   180.000     20.00     10.00    0
   67     179.677078     -37.677631      62.000000     0.618   345.663    90.000     0.000   255.663    90.000   180.000     25.00     10.00    0
   68     179.657623     -37.719940      62.000000     0.653   350.838    90.000     0.000   260.838    90.000   180.000     30.00     10.00    0
   69     179.638153     -37.762249      62.000000     0.537   354.144    90.000     0.000   264.144    90.000   180.000     35.00     10.00    0
   70     179.618668     -37.804562      62.000000     0.302   350.623    90.000     0.000   260.623    90.000   180.000     40.00     10.00    0
   71     179.870377     -37.254292      52.000000     0.697   295.275    90.000   180.000    25.275    90.000     0.000    -25.00     20.00    1
   72     179.851135     -37.296638      52.000000     1.463   294.644    90.000   180.000    24.644    90.000     0.000    -20.00     20.00    1
   73     179.831894     -37.338982      52.000000     2.061   296.339    90.000   180.000    26.339    90.000     0.000    -15.00     20.00    1
   74     179.812607     -37.381321      52.000000     2.374   296.872    90.000   180.000    26.872    90.000     0.000    -10.00     20.00    1
   75     179.793320     -37.423660      52.000000     2.458   295.543    90.000   180.000    25.543    90.000     0.000     -5.00     20.00    1
   76     179.774002     -37.466000      52.000000     2.389   292.650    90.000   180.000    22.650    90.000     0.000      0.00     20.00    1
   77     179.754654     -37.508331      52.000000     2.277   288.839    90.000   180.000    18.839    90.000     0.000      5.00     20.00    1
   78     179.735306     -37.550659      52.000000     2.173   284.612    90.000   180.000    14.612    90.000     0.000     10.00     20.00    1
   79     179.715912     -37.592991      52.000000     2.097   280.356    90.000   180.000    10.356    90.000     0.000     15.00     20.00    1
   80     179.696503     -37.635311      52.000000     1.958   276.182    90.000   180.000     6.182    90.000     0.000     20.00     20.00    1
   81     179.677078     -37.677631      52.000000     1.690   273.285    90.000   180.000     3.285    90.000     0.000     25.00     20.00    1
