,network,station,location,channel,starttime,endtime,amarker
0,GT,PLCA,00,BHZ,2021-03-04T13:34:38.000000Z,2021-03-04T13:59:38.000000Z,301.81964
1,PS,PSI,,BHZ,2021-03-04T13:35:06.011300Z,2021-03-04T14:00:05.961300Z,297.64023
2,IU,MIDW,00,BHZ,2021-03-04T13:33:20.019538Z,2021-03-04T13:58:19.994538Z,297.55804
3,GE,FAKI,,BHZ,2021-03-04T13:31:59.019538Z,2021-03-04T13:57:18.769538Z,306.73352
4,C,GO05,,BHZ,2021-03-04T13:34:53.000000Z,2021-03-04T13:59:53.000000Z,301.62656
5,GE,PLAI,,BHZ,2021-03-04T13:32:45.721859Z,2021-03-04T13:58:12.821859Z,310.02313
6,G,CRZF,00,BHZ,2021-03-04T13:35:04.000000Z,2021-03-04T14:00:04.000000Z,301.8725
7,IU,POHA,00,BHZ,2021-03-04T13:32:55.019538Z,2021-03-04T13:57:54.994538Z,298.516
8,C,GO06,,BHZ,2021-03-04T13:34:39.000000Z,2021-03-04T13:59:39.000000Z,301.66052
9,GE,LUWI,,BHZ,2021-03-04T13:32:57.219538Z,2021-03-04T13:58:14.069538Z,306.4195
10,AI,JUBA,04,BHZ,2021-03-04T13:33:45.000000Z,2021-03-04T13:58:45.000000Z,300.41702
11,C,GO09,,BHZ,2021-03-04T13:33:54.000000Z,2021-03-04T13:58:54.000000Z,301.7123
12,GE,JAGI,,BHZ,2021-03-04T13:33:03.619538Z,2021-03-04T13:58:32.569538Z,311.76147
13,GE,GENI,,BHZ,2021-03-04T13:31:23.719538Z,2021-03-04T13:56:38.019538Z,304.74362
14,IU,KIP,00,BHZ,2021-03-04T13:32:59.019538Z,2021-03-04T13:57:58.994538Z,298.9772
15,IU,SBA,00,BHZ,2021-03-04T13:30:14.019536Z,2021-03-04T13:55:13.994536Z,305.15173
16,GE,UGM,,BHZ,2021-03-04T13:33:22.819538Z,2021-03-04T13:58:55.169538Z,313.35443
17,G,DRV,00,BHZ,2021-03-04T13:29:41.000000Z,2021-03-04T13:54:41.000000Z,303.13437
